dataset,num_nodes,num_edges,density,trial,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
adjnoun,112,425,0.0338807397959184,1,0.4,0.6,0.0952380952380952,0.99,0.0476190476190476
adjnoun,112,425,0.0338807397959184,2,3,0.99,0.142857142857143,0.99,0.142857142857143
adjnoun,112,425,0.0338807397959184,3,0.1,0.85,0.19047619047619,0.99,0.142857142857143
adjnoun,112,425,0.0338807397959184,4,0.3,0.6,0.0238095238095238,0.85,0.0238095238095238
adjnoun,112,425,0.0338807397959184,5,0.1,0.6,0.0952380952380952,0.99,0.119047619047619
adjnoun,112,425,0.0338807397959184,6,0.8,0.6,0.0714285714285714,0.99,0.0714285714285714
adjnoun,112,425,0.0338807397959184,7,0.2,0.6,0.119047619047619,0.99,0.142857142857143
adjnoun,112,425,0.0338807397959184,8,0.2,0.6,0.0952380952380952,0.99,0.0952380952380952
adjnoun,112,425,0.0338807397959184,9,0.2,0.6,0.119047619047619,0.99,0.0952380952380952
adjnoun,112,425,0.0338807397959184,10,1,0.6,0.142857142857143,0.9,0.119047619047619
USAir97,332,2126,0.0192879953549136,1,0.6,0.85,0.325471698113208,0.9,0.165094339622642
USAir97,332,2126,0.0192879953549136,2,1,0.7,0.25,0.99,0.188679245283019
USAir97,332,2126,0.0192879953549136,3,0.4,0.6,0.377358490566038,0.99,0.231132075471698
USAir97,332,2126,0.0192879953549136,4,0.4,0.7,0.311320754716981,0.99,0.193396226415094
USAir97,332,2126,0.0192879953549136,5,0.6,0.6,0.273584905660377,0.99,0.179245283018868
USAir97,332,2126,0.0192879953549136,6,0.5,0.7,0.297169811320755,0.99,0.202830188679245
USAir97,332,2126,0.0192879953549136,7,0.5,0.7,0.273584905660377,0.9,0.202830188679245
USAir97,332,2126,0.0192879953549136,8,0.3,0.7,0.320754716981132,0.99,0.231132075471698
USAir97,332,2126,0.0192879953549136,9,0.1,0.6,0.339622641509434,0.99,0.169811320754717
USAir97,332,2126,0.0192879953549136,10,0.3,0.7,0.306603773584906,0.99,0.183962264150943
EuairComplete,417,2953,0.0169820977750174,1,0.6,0.6,0.203389830508475,0.99,0.149152542372881
