dataset,num_nodes,num_edges,density,trial,numfolds,alpha,c_nonlocal,accuracy_nonlocal,c_local,accuracy_local
adjnoun,112,425,0.0338807397959184,1,10,0.1,0.6,0.0714285714285714,0.85,0.0476190476190476
adjnoun,112,425,0.0338807397959184,2,10,0.1,0.6,0.142857142857143,0.99,0.142857142857143
adjnoun,112,425,0.0338807397959184,3,10,0.4,0.6,0.166666666666667,0.7,0.0714285714285714
adjnoun,112,425,0.0338807397959184,4,10,0.1,0.6,0.0476190476190476,0.85,0.0238095238095238
adjnoun,112,425,0.0338807397959184,5,10,0.1,0.6,0.0952380952380952,0.85,0.119047619047619
adjnoun,112,425,0.0338807397959184,6,10,0.1,0.6,0.0714285714285714,0.85,0.0714285714285714
adjnoun,112,425,0.0338807397959184,7,10,0.1,0.7,0.0952380952380952,0.85,0.0952380952380952
adjnoun,112,425,0.0338807397959184,8,10,0.1,0.6,0.0952380952380952,0.85,0.0476190476190476
adjnoun,112,425,0.0338807397959184,9,10,0.1,0.6,0.119047619047619,0.85,0.0952380952380952
adjnoun,112,425,0.0338807397959184,10,10,0.1,0.6,0.238095238095238,0.85,0.119047619047619
adjnoun,112,425,0.0338807397959184,11,10,0.1,0.6,0.19047619047619,0.85,0.166666666666667
adjnoun,112,425,0.0338807397959184,12,10,0.1,0.6,0.142857142857143,0.85,0.166666666666667
adjnoun,112,425,0.0338807397959184,13,10,3,0.99,0.119047619047619,0.99,0.0952380952380952
adjnoun,112,425,0.0338807397959184,14,10,0.1,0.6,0.0714285714285714,0.85,0.0476190476190476
adjnoun,112,425,0.0338807397959184,15,10,0.1,0.6,0.166666666666667,0.85,0.0476190476190476
USAir97,332,2126,0.0192879953549136,1,10,0.1,0.6,0.287735849056604,0.9,0.231132075471698
USAir97,332,2126,0.0192879953549136,2,10,0.3,0.6,0.391509433962264,0.99,0.231132075471698
USAir97,332,2126,0.0192879953549136,3,10,0.3,0.6,0.30188679245283,0.1,0.122641509433962
USAir97,332,2126,0.0192879953549136,4,10,0.1,0.6,0.339622641509434,0.85,0.174528301886792
USAir97,332,2126,0.0192879953549136,5,10,0.1,0.6,0.297169811320755,0.9,0.193396226415094
USAir97,332,2126,0.0192879953549136,6,10,0.2,0.6,0.273584905660377,0.9,0.202830188679245
USAir97,332,2126,0.0192879953549136,7,10,0.1,0.7,0.316037735849057,0.9,0.193396226415094
USAir97,332,2126,0.0192879953549136,8,10,0.1,0.6,0.339622641509434,0.99,0.169811320754717
USAir97,332,2126,0.0192879953549136,9,10,0.1,0.6,0.30188679245283,0.99,0.183962264150943
USAir97,332,2126,0.0192879953549136,10,10,0.1,0.6,0.30188679245283,0.9,0.202830188679245
USAir97,332,2126,0.0192879953549136,11,10,0.4,0.6,0.30188679245283,0.9,0.216981132075472
USAir97,332,2126,0.0192879953549136,12,10,0.1,0.6,0.334905660377358,0.1,0.117924528301887
USAir97,332,2126,0.0192879953549136,13,10,0.1,0.6,0.358490566037736,0.85,0.136792452830189
USAir97,332,2126,0.0192879953549136,14,10,0.2,0.6,0.316037735849057,0.9,0.231132075471698
USAir97,332,2126,0.0192879953549136,15,10,0.1,0.85,0.311320754716981,0.85,0.160377358490566
cage9,3534,19030,0.00152372185918728,1,10,0.7,0.7,0.046242774566474,0.1,0.0557015239096164
cage9,3534,19030,0.00152372185918728,2,10,5,0.3,0.0514976353126642,0.1,0.0514976353126642
cage9,3534,19030,0.00152372185918728,3,10,5,0.1,0.0656857593273778,0.1,0.0662112454019968
cage9,3534,19030,0.00152372185918728,4,10,5,0.2,0.0546505517603783,0.1,0.0541250656857593
cage9,3534,19030,0.00152372185918728,5,10,5,0.1,0.0562270099842354,0.1,0.0572779821334735
cage9,3534,19030,0.00152372185918728,6,10,5,0.1,0.0656857593273778,0.1,0.0551760378349974
cage9,3534,19030,0.00152372185918728,7,10,5,0.1,0.0530740935365213,0.1,0.0509721492380452
cage9,3534,19030,0.00152372185918728,8,10,0.7,0.7,0.0394114555964267,0.1,0.0504466631634262
cage9,3534,19030,0.00152372185918728,9,10,5,0.1,0.0599054125065686,0.85,0.0488702049395691
cage9,3534,19030,0.00152372185918728,10,10,3,0.2,0.0504466631634262,0.85,0.0446663163426169
cage9,3534,19030,0.00152372185918728,11,10,5,0.1,0.0599054125065686,0.1,0.0520231213872832
cage9,3534,19030,0.00152372185918728,12,10,0.3,0.6,0.0346820809248555,0.1,0.0493956910141881
cage9,3534,19030,0.00152372185918728,13,10,0.7,0.7,0.0430898581187599,0.1,0.0441408302679979
cage9,3534,19030,0.00152372185918728,14,10,0.7,0.7,0.0436153441933789,0.6,0.0499211770888071
cage9,3534,19030,0.00152372185918728,15,10,0.3,0.6,0.0336311087756174,0.1,0.0593799264319496
delaunay_n12,4096,12264,0.000730991363525391,1,10,5,0.1,0.257748776508972,0.1,0.216150081566069
delaunay_n12,4096,12264,0.000730991363525391,2,10,5,0.1,0.248776508972268,0.1,0.211256117455139
delaunay_n12,4096,12264,0.000730991363525391,3,10,5,0.1,0.258564437194127,0.1,0.204730831973899
delaunay_n12,4096,12264,0.000730991363525391,4,10,5,0.1,0.252854812398042,0.1,0.199836867862969
delaunay_n12,4096,12264,0.000730991363525391,5,10,5,0.1,0.257748776508972,0.1,0.207177814029364
